#
# Extracted from "jb_device.h"   
# Documentation at least is "Copyright © 2006 Altera Corporation. All rights reserved"
#
# Device,        Idcode,   Max      Conf_done Instruction
#                          JTAG     JTAG      Length     
#                          Sequence,Sequence,
# Family,Part,Idcode,JtagSeq,Conf_Done Seq,InstructionLength

# ACEX 1K
"CYCLONE", "EP1C20F324", 0x20840DD, 310, 197, 10
"CYCLONE", "EP1C20F400", 0x20840DD, 310, 197, 10
"CYCLONE", "EP1C12F256", 0x20830DD, 258, 163, 10
"CYCLONE", "EP1C12F324", 0x20830DD, 258, 163, 10
"CYCLONE", "EP1C12Q240", 0x20830DD, 258, 163, 10
"CYCLONE", "EP1C6F256", 0x20820DD, 194, 121, 10
"CYCLONE", "EP1C6Q240", 0x20820DD, 194, 121, 10
"CYCLONE", "EP1C6T144", 0x20820DD, 194, 121, 10
"CYCLONE", "EP1C4F400", 0x20850DD, 310, 198, 10
"CYCLONE", "EP1C4F324", 0x20850DD, 310, 198, 10
"CYCLONE", "EP1C3T100", 0x20810DD, 113, 69, 10
"CYCLONE", "EP1C3T144", 0x20810DD, 113, 69, 10

# STRATIX GX
"STRATIX GX","EP1SGX40", 0x20450DD, 647, 545, 10
"STRATIX GX","EP1SGX25", 0x20430DD, 555, 471, 10
"STRATIX GX","EP1SGX10", 0x20410DD, 343, 295, 10

# STRATIX II ES
"STRATIX II ES","EP2S60F484ES", 0x20930DD, 732, 731, 10
"STRATIX II ES","EP2S60F672ES", 0x20930DD, 732, 731, 10
"STRATIX II ES","EP2S60F1020ES", 0x20930DD, 732, 731, 10

# STRATIX II
"STRATIX II", "EP2S15F484", 0x20910DD, 380, 379, 10
"STRATIX II", "EP2S15F672", 0x20910DD, 380, 379, 10
"STRATIX II", "EP2S30F484", 0x20920DD, 564, 563, 10
"STRATIX II", "EP2S30F672", 0x20920DD, 564, 563, 10
"STRATIX II", "EP2S60F484", 0x120930DD,732, 731, 10
"STRATIX II", "EP2S60F672", 0x120930DD,732, 731, 10
"STRATIX II", "EP2S60F1020", 0x120930DD,732, 731, 10
"STRATIX II", "EP2S90F1020", 0x20940DD, 916, 915, 10
"STRATIX II", "EP2S90F1508", 0x20940DD, 916, 915, 10
"STRATIX II", "EP2S130F1020", 0x20950DD, 1140,1139,10
"STRATIX II", "EP2S130F1508", 0x20950DD, 1140,1139,10
"STRATIX II", "EP2S180F1020", 0x20960DD, 1316,1315,10
"STRATIX II", "EP2S180F1508", 0x20960DD, 1316,1315,10

# CYCLONE II
"CYCLONE II", "EP2C35F484", 0x20B40DD, 483, 296, 10
"CYCLONE II", "EP2C35F672", 0x20B40DD, 483, 296, 10
"CYCLONE II", "EP2C5T144", 0x20B10DD, 166,  97, 10
"CYCLONE II", "EP2C5Q208", 0x20B10DD, 166,  97, 10
"CYCLONE II", "EP2C5F256", 0x20B10DD, 166,  97, 10
"CYCLONE II", "EP2C8T144", 0x20B20DD, 199, 119, 10
"CYCLONE II", "EP2C8Q208", 0x20B20DD, 199, 119, 10
"CYCLONE II", "EP2C8F256", 0x20B20DD, 199, 119, 10
"CYCLONE II", "EP2C15F256", 0x20B30DD, 323, 193, 10
"CYCLONE II", "EP2C15F484", 0x20B30DD, 323, 193, 10
"CYCLONE II", "EP2C20Q240", 0x20B30DD, 323, 193, 10
"CYCLONE II", "EP2C20F256", 0x20B30DD, 323, 193, 10
"CYCLONE II", "EP2C20F484", 0x20B30DD, 323, 193, 10
"CYCLONE II", "EP2C50F484", 0x20B50DD, 458, 280, 10
"CYCLONE II", "EP2C50F672", 0x20B50DD, 458, 280, 10
"CYCLONE II", "EP2C70F672", 0x20B60DD, 630, 391, 10
"CYCLONE II", "EP2C70F896", 0x20B60DD, 630, 391, 10

# STRATIX II GX
"STRATIX II GX","EP2SGX30F780", 0x20E10DD, 564, 563, 10
"STRATIX II GX","EP2SGX60F780", 0x20E20DD, 732, 731, 10
"STRATIX II GX","EP2SGX60F1152", 0x20E20DD, 732, 731, 10
"STRATIX II GX","EP2SGX90F1152", 0x20E30DD, 672, 671, 10
"STRATIX II GX","EP2SGX90F1508", 0x20E30DD, 672, 671, 10
"STRATIX II GX","EP2SGX130F1508", 0x20E40DD, 816, 815, 10

# CYCLONE III
"CYCLONE III", "EP3C25F324", 0x20F30DD, 244, 149, 10
"CYCLONE III", "EP3C25E144", 0x20F30DD, 244, 149, 10
"CYCLONE III", "EP3C25Q240", 0x20F30DD, 244, 149, 10
"CYCLONE III", "EP3C25F256", 0x20F30DD, 244, 149, 10
"CYCLONE III", "EP3C25U256", 0x20F30DD, 244, 149, 10
"CYCLONE III", "EP3C5E144", 0x20F10DD, 201, 126, 10
"CYCLONE III", "EP3C5F256", 0x20F10DD, 201, 126, 10
"CYCLONE III", "EP3C5U256", 0x20F10DD, 201, 126, 10
"CYCLONE III", "EP3C10E144", 0x20F10DD, 201, 126, 10
"CYCLONE III", "EP3C10F256", 0x20F10DD, 201, 126, 10
"CYCLONE III", "EP3C10U256", 0x20F10DD, 201, 126, 10
"CYCLONE III", "EP3C16E144", 0x20F20DD, 360, 224, 10
"CYCLONE III", "EP3C16Q240", 0x20F20DD, 360, 224, 10
"CYCLONE III", "EP3C16F256", 0x20F20DD, 360, 224, 10
"CYCLONE III", "EP3C16U256", 0x20F20DD, 360, 224, 10
"CYCLONE III", "EP3C16F484", 0x20F20DD, 360, 224, 10
"CYCLONE III", "EP3C16U484", 0x20F20DD, 360, 224, 10
"CYCLONE III", "EP3C40Q240", 0x20F40DD, 544, 343, 10
"CYCLONE III", "EP3C40F324", 0x20F40DD, 544, 343, 10
"CYCLONE III", "EP3C40F484", 0x20F40DD, 544, 343, 10
"CYCLONE III", "EP3C40U484", 0x20F40DD, 544, 343, 10
"CYCLONE III", "EP3C40U780", 0x20F40DD, 544, 343, 10
"CYCLONE III", "EP3C55F484", 0x20F50DD, 388, 241, 10
"CYCLONE III", "EP3C55U484", 0x20F50DD, 388, 241, 10
"CYCLONE III", "EP3C55U780", 0x20F50DD, 388, 241, 10
"CYCLONE III", "EP3C80F484", 0x20F60DD, 438, 271, 10
"CYCLONE III", "EP3C80U484", 0x20F60DD, 438, 271, 10
"CYCLONE III", "EP3C80F780", 0x20F60DD, 438, 271, 10
"CYCLONE III", "EP3C120F484", 0x20F70DD, 540, 336, 10
"CYCLONE III", "EP3C120F780", 0x20F70DD, 540, 336, 10

# ARRIA GX
"ARRIA GX", "EP1AGX20F484", 0x21210DD, 440, 439, 10
"ARRIA GX", "EP1AGX20F780", 0x21210DD, 440, 439, 10
"ARRIA GX", "EP1AGX35F484", 0x21210DD, 440, 439, 10
"ARRIA GX", "EP1AGX35F780", 0x21210DD, 440, 439, 10
"ARRIA GX", "EP1AGX50F484", 0x21220DD, 556, 555, 10
"ARRIA GX", "EP1AGX50F780", 0x21220DD, 556, 555, 10
"ARRIA GX", "EP1AGX50F1152", 0x21220DD, 556, 555, 10
"ARRIA GX", "EP1AGX60F484", 0x21220DD, 556, 555, 10
"ARRIA GX", "EP1AGX60F780", 0x21220DD, 556, 555, 10
"ARRIA GX", "EP1AGX60F1152", 0x21220DD, 556, 555, 10
"ARRIA GX", "EP1AGX90F1152", 0x21230DD, 672, 671, 10

# STRATIX III
"STRATIX III","EP3SL50F484", 0x21080DD, 502, 122, 10
"STRATIX III","EP3SL50F780", 0x21080DD, 502, 122, 10
"STRATIX III","EP3SL70F484", 0x21010DD, 502, 122, 10
"STRATIX III","EP3SL70F780", 0x21010DD, 502, 122, 10
"STRATIX III","EP3SL110F780", 0x21090DD, 758, 186, 10
"STRATIX III","EP3SL110F1152", 0x21090DD, 758, 186, 10
"STRATIX III","EP3SL150F780", 0x21020DD, 758, 186, 10
"STRATIX III","EP3SL150F1152", 0x21020DD, 758, 186, 10
"STRATIX III","EP3SL200F780", 0x21030DD, 894, 190, 10
"STRATIX III","EP3SL200F1152", 0x21030DD, 894, 190, 10
"STRATIX III","EP3SL200F1517", 0x21030DD, 894, 190, 10
"STRATIX III","EP3SL340F1152", 0x21050DD,1134, 278, 10
"STRATIX III","EP3SL340F1517", 0x21050DD,1134, 278, 10
"STRATIX III","EP3SL340F1760", 0x21050DD,1134, 278, 10
"STRATIX III","EP3SE50F484", 0x21060DD, 502, 122, 10
"STRATIX III","EP3SE50F780", 0x21060DD, 502, 122, 10
"STRATIX III","EP3SE80F780", 0x210A0DD, 502, 122, 10
"STRATIX III","EP3SE80F1152", 0x210A0DD, 502, 122, 10
"STRATIX III","EP3SE110F780", 0x21070DD, 758, 186, 10
"STRATIX III","EP3SE110F1152", 0x21070DD, 758, 186, 10
"STRATIX III","EP3SE260F780", 0x21040DD, 990, 238, 10
"STRATIX III","EP3SE260F1152", 0x21040DD, 990, 238, 10
"STRATIX III","EP3SE260F1517", 0x21040DD, 990, 238, 10

# STRATIX IV
"STRATIX IV", "EP4SGX70DF29"}, 0x24200DD, 438, 122, 10
"STRATIX IV", "EP4SGX70DF35"}, 0x24200DD, 438, 122, 10
"STRATIX IV", "EP4SGX110DF29", 0x24000DD, 438, 122, 10
"STRATIX IV", "EP4SGX110FF35", 0x24000DD, 438, 122, 10
"STRATIX IV", "EP4SGX180DF29", 0x24210DD, 758, 186, 10
"STRATIX IV", "EP4SGX180FF35", 0x24210DD, 758, 186, 10
"STRATIX IV", "EP4SGX180HF35", 0x24210DD, 758, 186, 10
"STRATIX IV", "EP4SGX180KF40", 0x24210DD, 758, 186, 10
"STRATIX IV", "EP4SGX230DF29", 0x24090DD, 758, 186, 10
"STRATIX IV", "EP4SGX230FF35", 0x24090DD, 758, 186, 10
"STRATIX IV", "EP4SGX230HF35", 0x24090DD, 758, 186, 10
"STRATIX IV", "EP4SGX230KF40", 0x24090DD, 758, 186, 10
"STRATIX IV", "EP4SGX290FH29", 0x24220DD, 894, 190, 10
"STRATIX IV", "EP4SGX290FF35", 0x24220DD, 894, 190, 10
"STRATIX IV", "EP4SGX290HF35", 0x24220DD, 894, 190, 10
"STRATIX IV", "EP4SGX290KF40", 0x24220DD, 894, 190, 10
"STRATIX IV", "EP4SGX290KF43", 0x24220DD, 894, 190, 10
"STRATIX IV", "EP4SGX290NF45", 0x24430DD, 990, 238, 10
"STRATIX IV", "EP4SGX360FF29", 0x24020DD, 894, 190, 10
"STRATIX IV", "EP4SGX360FF35", 0x24020DD, 894, 190, 10
"STRATIX IV", "EP4SGX360HF35", 0x24020DD, 894, 190, 10
"STRATIX IV", "EP4SGX360KF40", 0x24020DD, 894, 190, 10
"STRATIX IV", "EP4SGX360KF43", 0x24020DD, 894, 190, 10
"STRATIX IV", "EP4SGX360NF45", 0x24830DD, 990, 238, 10
"STRATIX IV", "EP4SGX530HH35", 0x24030DD, 990, 238, 10
"STRATIX IV", "EP4SGX530KH40", 0x24030DD, 990, 238, 10
"STRATIX IV", "EP4SGX530KF43", 0x24030DD, 990, 238, 10
"STRATIX IV", "EP4SGX530NF45", 0x24030DD, 990, 238, 10
"STRATIX IV", "EP4SE110F29", 0x24100DD, 438, 122, 10
"STRATIX IV", "EP4SE230F29", 0x24110DD, 758, 186, 10
"STRATIX IV", "EP4SE290F29", 0x24420DD, 894, 190, 10
"STRATIX IV", "EP4SE290F35", 0x24420DD, 894, 190, 10
"STRATIX IV", "EP4SE290F40", 0x24420DD, 894, 190, 10
"STRATIX IV", "EP4SE360F29", 0x24120DD, 894, 190, 10
"STRATIX IV", "EP4SE360F35", 0x24120DD, 894, 190, 10
"STRATIX IV", "EP4SE360F40", 0x24120DD, 894, 190, 10
"STRATIX IV", "EP4SE530H35", 0x24130DD, 990, 238, 10
"STRATIX IV", "EP4SE530H40", 0x24130DD, 990, 238, 10
"STRATIX IV", "EP4SE530F43", 0x24130DD, 990, 238, 10
"STRATIX IV", "EP4SE680F35", 0x24040DD, 1134, 278, 10
"STRATIX IV", "EP4SE680F40", 0x24040DD, 1134, 278, 10
"STRATIX IV", "EP4SE680F43", 0x24040DD, 1134, 278, 10
"STRATIX IV", "EP4S40G2F40", 0x24010DD, 758, 186, 10
"STRATIX IV", "EP4S40G5H40", 0x24030DD, 990, 238, 10
"STRATIX IV", "EP4S100G2F40", 0x24010DD, 758, 186, 10
"STRATIX IV", "EP4S100G5F40", 0x24030DD, 990, 238, 10
"STRATIX IV", "EP4S100G5H45", 0x24030DD, 990, 238, 10

# Cyclone III LS
"Cyclone III LS", "EP3CLS70F484", 0x27010DD, 438, 271, 10
"Cyclone III LS", "EP3CLS70U484", 0x27010DD, 438, 271, 10
"Cyclone III LS", "EP3CLS70F780", 0x27010DD, 438, 271, 10
"Cyclone III LS", "EP3CLS100F484", 0x27000DD, 438, 271, 10
"Cyclone III LS", "EP3CLS100U484", 0x27000DD, 438, 271, 10
"Cyclone III LS", "EP3CLS100F780", 0x27000DD, 438, 271, 10
"Cyclone III LS", "EP3CLS150F484", 0x27030DD, 438, 271, 10
"Cyclone III LS", "EP3CLS150F780", 0x27030DD, 438, 271, 10
"Cyclone III LS", "EP3CLS200F484", 0x27020DD, 438, 271, 10
"Cyclone III LS", "EP3CLS200F780", 0x27020DD, 438, 271, 10

# Arria II GX
"Arria II GX", "EP2AGX45CU17", 0x25120DD, 433, 42, 10
"Arria II GX", "EP2AGX45DF25", 0x25120DD, 433, 42, 10
"Arria II GX", "EP2AGX45DF29", 0x25120DD, 433, 42, 10
"Arria II GX", "EP2AGX65CU17", 0x25020DD, 433, 42, 10
"Arria II GX", "EP2AGX65DF25", 0x25020DD, 433, 42, 10
"Arria II GX", "EP2AGX65DF29", 0x25020DD, 433, 42, 10
"Arria II GX", "EP2AGX95DF25", 0x25130DD, 525, 62, 10
"Arria II GX", "EP2AGX95EF29", 0x25130DD, 525, 62, 10
"Arria II GX", "EP2AGX95EF35", 0x25130DD, 525, 62, 10
"Arria II GX", "EP2AGX125DF25", 0x25030DD, 525, 62, 10
"Arria II GX", "EP2AGX125EF29", 0x25030DD, 525, 62, 10
"Arria II GX", "EP2AGX125EF35", 0x25030DD, 525, 62, 10
"Arria II GX", "EP2AGX190EF29", 0x25140DD, 705, 82, 10
"Arria II GX", "EP2AGX190FF35", 0x25140DD, 705, 82, 10
"Arria II GX", "EP2AGX260EF29", {0x25040DD, 705, 82, 10
"Arria II GX", "EP2AGX260FF35", 0x25040DD, 705, 82, 10

# Cyclone IV
"Cyclone IV", "EP4CE6E22", 0x20F10DD, 201, 126, 10
"Cyclone IV", "EP4CE6F17", 0x20F10DD, 201, 126, 10
"Cyclone IV", "EP4CE10E22", 0x20F10DD, 201, 126, 10
"Cyclone IV", "EP4CE10F17", 0x20F10DD, 201, 126, 10
"Cyclone IV", "EP4CE15E22", 0x20F20DD, 360, 224, 10
"Cyclone IV", "EP4CE15F17", 0x20F20DD, 360, 224, 10
"Cyclone IV", "EP4CE15F23", 0x20F20DD, 360, 224, 10
"Cyclone IV", "EP4CE22E22", 0x20F30DD, 244, 149, 10
"Cyclone IV", "EP4CE22F17", 0x20F30DD, 244, 149, 10
"Cyclone IV", "EP4CE30F23", 0x20F40DD, 544, 343, 10
"Cyclone IV", "EP4CE30F29", 0x20F40DD, 544, 343, 10
"Cyclone IV", "EP4CE40F23", 0x20F40DD, 544, 343, 10
"Cyclone IV", "EP4CE40F29", 0x20F40DD, 544, 343, 10
"Cyclone IV", "EP4CE55F23", 0x20F50DD, 388, 241, 10
"Cyclone IV", "EP4CE55F29", 0x20F50DD, 388, 241, 10
"Cyclone IV", "EP4CE75F23", 0x20F60DD, 438, 271, 10
"Cyclone IV", "EP4CE75F29", 0x20F60DD, 438, 271, 10
"Cyclone IV", "EP4CE115F23", 0x28010DD, 96, 20, 10
"Cyclone IV", "EP4CE115F29", 0x20F70DD, 540, 336, 10
"Cyclone IV", "EP4CGX15BF14", 0x28010DD, 96, 20, 10
"Cyclone IV", "EP4CGX15BN11", 0x28010DD, 96, 20, 10
"Cyclone IV", "EP4CGX22BF14", 0x28120DD, 174, 20, 10
"Cyclone IV", "EP4CGX22CF19", 0x28120DD, 174, 20, 10
"Cyclone IV", "EP4CGX30BF14", 0x28020DD, 174, 20, 10
"Cyclone IV", "EP4CGX30CF19", 0x28020DD, 174, 20, 10
"Cyclone IV", "EP4CGX30CF23", 0x28130DD, 354, 38, 10
"Cyclone IV", "EP4CGX50CF23", 0x28230DD, 354, 38, 10
"Cyclone IV", "EP4CGX50DF27", 0x28230DD, 354, 38, 10
"Cyclone IV", "EP4CGX75CF23", 0x28030DD, 354, 38, 10
"Cyclone IV", "EP4CGX75DF27", 0x28030DD, 354, 38, 10
"Cyclone IV", "EP4CGX110CF23", 0x28140DD, 516, 37, 10
"Cyclone IV", "EP4CGX110DF27", 0x28140DD, 516, 37, 10
"Cyclone IV", "EP4CGX110DF31", 0x28140DD, 516, 37, 10
"Cyclone IV", "EP4CGX150CF23", 0x28040DD, 516, 37, 10
"Cyclone IV", "EP4CGX150DF27", 0x28040DD, 516, 37, 10
"Cyclone IV", "EP4CGX150DF31", 0x28040DD, 516, 37, 10

# Stratix V
"Stratix V", "5SEE9F45", 0x29450DD, 1165, 424, 10
"Stratix V", "5SEE9H40", 0x29450DD, 1165, 424, 10
"Stratix V", "5SEEBF45", 0x29250DD, 1165, 424, 10
